wv_bucket,games,wins,win_pct,avg_my_words,avg_opp_words,avg_words_diff,avg_score_diff
-300 to -250,1,0,0.0,35.0,29.0,6.0,-5900.0
-250 to -200,1,0,0.0,36.0,26.0,10.0,-3400.0
-200 to -150,10,0,0.0,36.9,36.8,0.1,-6170.0
-150 to -100,9,1,11.11,35.78,34.78,1.0,-3422.22
-100 to -50,30,3,10.0,32.17,32.13,0.03,-2390.0
-50 to 0,33,14,42.42,33.27,31.79,1.48,-421.21
0 to 50,20,16,80.0,35.3,32.65,2.65,1440.0
50 to 100,11,11,100.0,39.0,35.36,3.64,3654.55
100 to 150,1,1,100.0,32.0,27.0,5.0,5200.0
