entity,games,win_pct,avg_score,avg_words,avg_word_value,avg_hv_rate_pct,avg_words_over_1400_rate_pct,avg_words_over_1800,avg_score_share_pct,avg_adjusted_points,note
"Me (vs Opponent 1, all games)",179,41.34,10843.02,34.37,308.52,11.43,1.53,0.017,48.22,-368.44,"Combines dataset 1 (pre-strategy-change, 116 games) and dataset 3 (post-strategy-change, 63 games) -- see word_hunt_insights3.md for the before/after split."
Opponent 1 (all games),179,58.1,11579.89,32.68,348.45,15.01,3.62,0.14,51.78,368.44,Combines dataset 1 and dataset 3.
Me (vs Opponent 2),51,56.86,10078.43,32.53,300.96,10.4,1.02,0.02,51.51,319.61,
Opponent 2,51,43.14,9439.22,30.24,302.38,10.35,2.15,0.118,48.49,-319.61,
Me — Overall (all opponents combined),230,44.78,10673.48,33.97,306.84,11.2,1.42,0.017,48.95,-215.87,"Blended across two different opponents/board sets and two of my own strategy eras -- use the per-matchup rows above for head-to-head comparison, not this one."
