file,my_won,my_score,my_words,my_words_over_800,my_words_over_1400,my_words_over_1800,my_words_over_2200,opp_score,opp_words,opp_words_over_800,opp_words_over_1400,opp_words_over_1800,opp_words_over_2200,notes,score_diff,words_diff,words_over_800_diff,words_over_1400_diff,words_over_1800_diff,words_over_2200_diff,total_score,total_words,my_avg_word_value,opp_avg_word_value,total_avg_word_value,avg_word_value_diff,my_hv_rate,opp_hv_rate,hv_rate_diff,opp_tier,game_idx
IMG_5888.PNG,0,13100,47,3,0,0,0,17500,41,11,2,0,0,,-4400,6,-8,-2,0,0,30600,88,278.72340425531917,426.8292682926829,347.72727272727275,-148.10586403736374,0.06382978723404255,0.2682926829268293,-0.20446289569278675,strong opponent (d3),1
IMG_5889.PNG,1,23200,55,12,2,0,0,12900,37,5,0,0,0,,10300,18,7,2,0,0,36100,92,421.8181818181818,348.64864864864865,392.39130434782606,73.16953316953317,0.21818181818181817,0.13513513513513514,0.08304668304668303,mid opponent (d3),2
IMG_5890.PNG,1,16500,56,4,0,0,0,13600,52,3,0,0,0,,2900,4,1,0,0,0,30100,108,294.64285714285717,261.53846153846155,278.7037037037037,33.10439560439562,0.07142857142857142,0.057692307692307696,0.013736263736263729,weak opponent (d3),3
IMG_5891.PNG,1,15300,33,9,2,0,0,11100,34,5,0,0,0,,4200,-1,4,2,0,0,26400,67,463.6363636363636,326.47058823529414,394.02985074626866,137.16577540106948,0.2727272727272727,0.14705882352941177,0.12566844919786094,mid opponent (d3),4
IMG_5892.PNG,0,5900,29,0,0,0,0,11400,30,5,3,1,0,,-5500,-1,-5,-3,-1,0,17300,59,203.44827586206895,380.0,293.22033898305085,-176.55172413793105,0.0,0.16666666666666666,-0.16666666666666666,mid opponent (d3),5
IMG_5893.PNG,0,10900,38,5,0,0,0,13900,34,9,2,0,0,,-3000,4,-4,-2,0,0,24800,72,286.8421052631579,408.8235294117647,344.44444444444446,-121.98142414860678,0.13157894736842105,0.2647058823529412,-0.13312693498452013,strong opponent (d3),6
IMG_5894.PNG,0,3300,14,1,0,0,0,9800,20,5,2,1,0,,-6500,-6,-4,-2,-1,0,13100,34,235.71428571428572,490.0,385.29411764705884,-254.28571428571428,0.07142857142857142,0.25,-0.17857142857142858,strong opponent (d3),7
IMG_5895.PNG,0,8000,29,3,0,0,0,9100,27,4,1,0,0,,-1100,2,-1,-1,0,0,17100,56,275.86206896551727,337.037037037037,305.35714285714283,-61.17496807151974,0.10344827586206896,0.14814814814814814,-0.044699872286079176,mid opponent (d3),8
IMG_5896.PNG,0,12800,38,6,2,0,0,14800,34,8,3,1,0,,-2000,4,-2,-1,-1,0,27600,72,336.8421052631579,435.29411764705884,383.3333333333333,-98.45201238390092,0.15789473684210525,0.23529411764705882,-0.07739938080495357,strong opponent (d3),9
IMG_5897.PNG,0,9600,34,2,0,0,0,12400,36,7,0,0,0,,-2800,-2,-5,0,0,0,22000,70,282.3529411764706,344.44444444444446,314.2857142857143,-62.09150326797385,0.058823529411764705,0.19444444444444445,-0.13562091503267976,mid opponent (d3),10
IMG_5898.PNG,1,12800,46,4,0,0,0,11300,41,0,0,0,0,,1500,5,4,0,0,0,24100,87,278.2608695652174,275.609756097561,277.01149425287355,2.651113467656387,0.08695652173913043,0.0,0.08695652173913043,weak opponent (d3),11
IMG_5899.PNG,0,6000,30,0,0,0,0,9400,27,4,1,0,0,,-3400,3,-4,-1,0,0,15400,57,200.0,348.14814814814815,270.17543859649123,-148.14814814814815,0.0,0.14814814814814814,-0.14814814814814814,mid opponent (d3),12
IMG_5900.PNG,0,8800,32,2,0,0,0,9800,35,3,0,0,0,,-1000,-3,-1,0,0,0,18600,67,275.0,280.0,277.6119402985075,-5.0,0.0625,0.08571428571428572,-0.023214285714285715,weak opponent (d3),13
IMG_5901.PNG,0,6900,26,1,0,0,0,9400,23,5,1,0,0,,-2500,3,-4,-1,0,0,16300,49,265.38461538461536,408.69565217391306,332.6530612244898,-143.3110367892977,0.038461538461538464,0.21739130434782608,-0.17892976588628762,strong opponent (d3),14
IMG_5902.PNG,0,10600,34,3,0,0,0,16100,39,8,1,0,0,,-5500,-5,-5,-1,0,0,26700,73,311.7647058823529,412.8205128205128,365.75342465753425,-101.05580693815989,0.08823529411764706,0.20512820512820512,-0.11689291101055806,strong opponent (d3),15
IMG_5903.PNG,0,18600,51,6,2,0,0,20600,45,10,5,1,0,,-2000,6,-4,-3,-1,0,39200,96,364.70588235294116,457.77777777777777,408.3333333333333,-93.07189542483661,0.11764705882352941,0.2222222222222222,-0.1045751633986928,strong opponent (d3),16
IMG_5904.PNG,1,17700,52,8,0,0,0,17200,38,11,2,0,0,,500,14,-3,-2,0,0,34900,90,340.38461538461536,452.63157894736844,387.77777777777777,-112.24696356275308,0.15384615384615385,0.2894736842105263,-0.13562753036437247,strong opponent (d3),17
IMG_5905.PNG,1,5000,22,1,0,0,0,4100,23,0,0,0,0,,900,-1,1,0,0,0,9100,45,227.27272727272728,178.2608695652174,202.22222222222223,49.011857707509876,0.045454545454545456,0.0,0.045454545454545456,weak opponent (d3),18
IMG_5906.PNG,0,19000,51,10,0,0,0,25200,42,15,8,0,0,opp_words_over_800 is a lower bound (list saturated with high-value words),-6200,9,-5,-8,0,0,44200,93,372.54901960784315,600.0,475.26881720430106,-227.45098039215685,0.19607843137254902,0.35714285714285715,-0.16106442577030813,strong opponent (d3),19
IMG_5907.PNG,0,9200,30,2,1,0,0,10600,30,4,1,0,0,,-1400,0,-2,0,0,0,19800,60,306.6666666666667,353.3333333333333,330.0,-46.66666666666663,0.06666666666666667,0.13333333333333333,-0.06666666666666667,mid opponent (d3),20
IMG_5908.PNG,0,14800,37,9,2,0,0,15400,32,11,3,0,0,,-600,5,-2,-1,0,0,30200,69,400.0,481.25,437.6811594202899,-81.25,0.24324324324324326,0.34375,-0.10050675675675674,strong opponent (d3),21
IMG_5909.PNG,0,5700,27,0,0,0,0,7800,32,1,0,0,0,,-2100,-5,-1,0,0,0,13500,59,211.11111111111111,243.75,228.8135593220339,-32.638888888888886,0.0,0.03125,-0.03125,weak opponent (d3),22
IMG_5910.PNG,1,13000,26,8,2,0,0,9900,26,4,0,0,0,,3100,0,4,2,0,0,22900,52,500.0,380.7692307692308,440.38461538461536,119.23076923076923,0.3076923076923077,0.15384615384615385,0.15384615384615385,mid opponent (d3),23
IMG_5911.PNG,0,10200,34,2,0,0,0,10900,34,3,0,0,0,,-700,0,-1,0,0,0,21100,68,300.0,320.5882352941176,310.29411764705884,-20.588235294117624,0.058823529411764705,0.08823529411764706,-0.02941176470588236,mid opponent (d3),24
IMG_5912.PNG,0,10100,33,2,1,0,0,12700,40,3,0,0,0,,-2600,-7,-1,1,0,0,22800,73,306.06060606060606,317.5,312.32876712328766,-11.439393939393938,0.06060606060606061,0.075,-0.01439393939393939,mid opponent (d3),25
IMG_5913.PNG,1,17900,36,10,5,1,0,16700,37,10,4,0,0,,1200,-1,0,1,1,0,34600,73,497.22222222222223,451.35135135135135,473.972602739726,45.870870870870874,0.2777777777777778,0.2702702702702703,0.007507507507507505,strong opponent (d3),26
IMG_5914.PNG,1,9200,32,0,0,0,0,5200,28,0,0,0,0,,4000,4,0,0,0,0,14400,60,287.5,185.71428571428572,240.0,101.78571428571428,0.0,0.0,0.0,weak opponent (d3),27
IMG_5915.PNG,0,9500,28,4,2,0,0,11800,31,6,4,0,0,,-2300,-3,-2,-2,0,0,21300,59,339.2857142857143,380.64516129032256,361.0169491525424,-41.359447004608285,0.14285714285714285,0.1935483870967742,-0.05069124423963134,mid opponent (d3),28
IMG_5916.PNG,0,16100,42,8,1,0,0,21000,44,10,4,0,0,,-4900,-2,-2,-3,0,0,37100,86,383.3333333333333,477.27272727272725,431.3953488372093,-93.93939393939394,0.19047619047619047,0.22727272727272727,-0.0367965367965368,strong opponent (d3),29
