opp_tier,games,wins,avg_opp_word_value,avg_my_word_value,win_pct
weak opponent (d3),21,15,256.909063374366,289.04471589023785,71.43
mid opponent (d3),21,8,351.80136133412935,325.682148906679,38.1
strong opponent (d3),21,5,466.1945588841735,363.53023571924444,23.81
