file,my_won,my_score,my_words,my_words_over_800,my_words_over_1400,my_words_over_1800,my_words_over_2200,opp2_score,opp2_words,opp2_words_over_800,opp2_words_over_1400,opp2_words_over_1800,opp2_words_over_2200,notes,score_diff,words_diff,words_over_800_diff,words_over_1400_diff,words_over_1800_diff,words_over_2200_diff,total_score,total_words,my_avg_word_value,opp2_avg_word_value,total_avg_word_value,avg_word_value_diff,my_hv_rate,opp2_hv_rate,hv_rate_diff,opp2_tier,game_idx
IMG_5853.PNG,1,8800,31,3,0,0,0,5300,22,1,0,0,0,,3500,9,2,0,0,0,14100,53,283.87,240.91,266.04,42.96,0.0968,0.0455,0.0513,weak opp2,26
IMG_5854.PNG,1,9200,35,0,0,0,0,7100,28,1,0,0,0,,2100,7,-1,0,0,0,16300,63,262.86,253.57,258.73,9.29,0.0,0.0357,-0.0357,mid opp2,27
IMG_5855.PNG,1,15300,39,9,1,0,0,10300,29,5,0,0,0,,5000,10,4,1,0,0,25600,68,392.31,355.17,376.47,37.14,0.2308,0.1724,0.0584,strong opp2,28
IMG_5856.PNG,1,11700,40,5,0,0,0,11300,36,5,0,0,0,,400,4,0,0,0,0,23000,76,292.5,313.89,302.63,-21.39,0.125,0.1389,-0.0139,mid opp2,29
IMG_5857.PNG,1,17700,43,11,0,0,0,13800,40,5,0,0,0,,3900,3,6,0,0,0,31500,83,411.63,345.0,379.52,66.63,0.2558,0.125,0.1308,strong opp2,30
IMG_5858.PNG,1,12200,41,3,0,0,0,9800,31,4,0,0,0,,2400,10,-1,0,0,0,22000,72,297.56,316.13,305.56,-18.57,0.0732,0.129,-0.0558,mid opp2,31
IMG_5859.PNG,1,12100,35,5,0,0,0,9900,37,2,0,0,0,,2200,-2,3,0,0,0,22000,72,345.71,267.57,305.56,78.14,0.1429,0.0541,0.0888,mid opp2,32
IMG_5860.PNG,0,5700,25,2,0,0,0,5900,23,3,0,0,0,,-200,2,-1,0,0,0,11600,48,228.0,256.52,241.67,-28.52,0.08,0.1304,-0.0504,mid opp2,33
IMG_5861.PNG,1,10300,46,0,0,0,0,8900,35,0,0,0,0,,1400,11,0,0,0,0,19200,81,223.91,254.29,237.04,-30.38,0.0,0.0,0.0,mid opp2,34
IMG_5862.PNG,1,11400,31,5,0,0,0,9300,31,2,0,0,0,,2100,0,3,0,0,0,20700,62,367.74,300.0,333.87,67.74,0.1613,0.0645,0.0968,mid opp2,35
IMG_5863.PNG,0,9800,36,2,0,0,0,20600,38,9,7,3,0,opponent had three 1800-point words (WOOLERS/TOOLERS/COOLERS); counted toward over_800 and over_1400,-10800,-2,-7,-7,-3,0,30400,74,272.22,542.11,410.81,-269.89,0.0556,0.2368,-0.1812,strong opp2,36
IMG_5864.PNG,1,17100,37,11,2,0,0,10000,29,5,1,0,0,,7100,8,6,1,0,0,27100,66,462.16,344.83,410.61,117.33,0.2973,0.1724,0.1249,strong opp2,37
IMG_5865.PNG,0,7600,26,2,0,0,0,12100,25,6,5,0,0,,-4500,1,-4,-5,0,0,19700,51,292.31,484.0,386.27,-191.69,0.0769,0.24,-0.1631,strong opp2,38
IMG_5866.PNG,0,6500,22,1,0,0,0,6900,22,2,0,0,0,,-400,0,-1,0,0,0,13400,44,295.45,313.64,304.55,-18.19,0.0455,0.0909,-0.0454,mid opp2,39
IMG_5867.PNG,0,2300,14,0,0,0,0,3400,15,1,0,0,0,,-1100,-1,-1,0,0,0,5700,29,164.29,226.67,196.55,-62.38,0.0,0.0667,-0.0667,weak opp2,40
IMG_5868.PNG,1,16600,47,8,0,0,0,16500,45,9,1,0,0,,100,2,-1,-1,0,0,33100,92,353.19,366.67,359.78,-13.48,0.1702,0.2,-0.0298,strong opp2,41
IMG_5869.PNG,0,9300,29,4,0,0,0,15100,29,11,3,0,0,,-5800,0,-7,-3,0,0,24400,58,320.69,520.69,420.69,-200.0,0.1379,0.3793,-0.2414,strong opp2,42
IMG_5870.PNG,1,11500,30,7,1,0,0,7700,29,3,0,0,0,,3800,1,4,1,0,0,19200,59,383.33,265.52,325.42,117.81,0.2333,0.1034,0.1299,mid opp2,43
IMG_5871.PNG,0,8100,28,2,0,0,0,8300,34,1,0,0,0,,-200,-6,1,0,0,0,16400,62,289.29,244.12,264.52,45.17,0.0714,0.0294,0.042,weak opp2,44
IMG_5872.PNG,0,7600,21,4,0,0,0,8900,21,5,2,0,0,,-1300,0,-1,-2,0,0,16500,42,361.9,423.81,392.86,-61.91,0.1905,0.2381,-0.0476,strong opp2,45
IMG_5873.PNG,0,13600,39,7,0,0,0,16900,38,11,0,0,0,,-3300,1,-4,0,0,0,30500,77,348.72,444.74,396.1,-96.02,0.1795,0.2895,-0.11,strong opp2,46
IMG_5874.PNG,1,10000,33,4,0,0,0,8300,29,3,0,0,0,,1700,4,1,0,0,0,18300,62,303.03,286.21,295.16,16.82,0.1212,0.1034,0.0178,mid opp2,47
IMG_5875.PNG,1,5900,26,0,0,0,0,3000,18,0,0,0,0,,2900,8,0,0,0,0,8900,44,226.92,166.67,202.27,60.25,0.0,0.0,0.0,weak opp2,48
IMG_5876.PNG,1,6300,26,1,1,0,0,5300,26,0,0,0,0,,1000,0,1,1,0,0,11600,52,242.31,203.85,223.08,38.46,0.0385,0.0,0.0385,weak opp2,49
IMG_5877.PNG,1,9400,35,2,0,0,0,8900,36,2,0,0,0,,500,-1,0,0,0,0,18300,71,268.57,247.22,257.75,21.35,0.0571,0.0556,0.0015,weak opp2,50
IMG_5878.PNG,1,8400,37,2,0,0,0,7400,30,2,0,0,0,,1000,7,0,0,0,0,15800,67,227.03,246.67,235.82,-19.64,0.0541,0.0667,-0.0126,weak opp2,51
