bucket,games,win_pct,avg_my_score,avg_opponent_score,avg_total_score,avg_my_words,avg_opponent_words,avg_total_words,avg_my_words_over_800,avg_opponent_words_over_800,avg_my_words_over_1400,avg_opponent_words_over_1400,avg_my_words_over_1800,avg_opponent_words_over_1800,avg_my_words_over_2200,avg_opponent_words_over_2200,avg_my_avg_word_value,avg_opponent_avg_word_value,avg_total_avg_word_value,avg_score_diff,avg_words_diff,avg_words_over_800_diff,avg_words_over_1400_diff,avg_words_over_1800_diff,avg_words_over_2200_diff,avg_avg_word_value_diff,avg_my_adjusted_points,avg_opponent_adjusted_points,avg_my_score_share,avg_my_hv_rate,avg_opponent_hv_rate,avg_hv_rate_diff,avg_my_words_over_1400_rate,avg_opponent_words_over_1400_rate,avg_words_over_1400_rate_diff
4k-12k,28,46.43,5007.1429,5010.7143,10017.8571,22.8929,23.0357,45.9286,0.9286,0.7143,0.0714,0.0357,0.0,0.0,0.0,0.0,219.8137,218.7839,219.5901,-3.5714,-0.1429,0.2143,0.0357,0.0,0.0,1.0298,-1.7857,1.7857,0.497,0.04,0.0319,0.0081,0.0032,0.0013,0.0018
12k-20k,80,38.75,7980.0,8571.25,16551.25,30.6375,29.1375,59.775,1.725,2.6125,0.1375,0.675,0.0,0.0625,0.0,0.0125,263.8677,299.0043,281.6526,-591.25,1.5,-0.8875,-0.5375,-0.0625,-0.0125,-35.1366,-295.625,295.625,0.4826,0.0601,0.0948,-0.0347,0.0048,0.0251,-0.0203
20k-28k,79,46.84,11743.038,12224.0506,23967.0886,35.5316,34.4937,70.0253,4.7215,5.3165,0.6329,1.0759,0.0127,0.1266,0.0,0.0127,333.5253,356.3435,345.3449,-481.0127,1.038,-0.5949,-0.443,-0.1139,-0.0127,-22.8182,-240.5063,240.5063,0.4905,0.1363,0.156,-0.0197,0.0189,0.0325,-0.0135
28k-36k,26,61.54,15942.3077,16069.2308,32011.5385,42.8077,38.2692,81.0769,8.0385,9.0769,0.8462,1.8462,0.0385,0.2308,0.0,0.0385,376.9207,426.7453,401.349,-126.9231,4.5385,-1.0385,-1.0,-0.1923,-0.0385,-49.8246,-63.4615,63.4615,0.4974,0.1924,0.2455,-0.0532,0.023,0.0503,-0.0273
36k-44k,16,37.5,19693.75,19968.75,39662.5,46.8125,40.875,87.6875,11.1875,11.5625,1.8125,3.5625,0.125,0.625,0.0,0.125,424.2538,493.868,457.4155,-275.0,5.9375,-0.375,-1.75,-0.5,-0.125,-69.6141,-137.5,137.5,0.4968,0.2416,0.2873,-0.0457,0.043,0.0917,-0.0487
44k-52k,1,0.0,19000.0,25200.0,44200.0,51.0,42.0,93.0,10.0,15.0,0.0,8.0,0.0,0.0,0.0,0.0,372.549,600.0,475.2688,-6200.0,9.0,-5.0,-8.0,0.0,0.0,-227.451,-3100.0,3100.0,0.4299,0.1961,0.3571,-0.1611,0.0,0.1905,-0.1905
