label,n,total_score_diff,low_tier_diff,low_tier_pct,mid_800_tier_diff,mid_800_tier_pct,high_1400_tier_diff,high_1400_tier_pct,avg_low_per_game,avg_mid_per_game,avg_high_per_game
All games combined,167,-80600,77600,-96.27791563275434,-5600,6.947890818858561,-152600,189.3300248138958,464.6706586826347,-33.532934131736525,-913.7724550898204
Dataset 1 (vs Opponent 1),116,-113200,46400,-40.98939929328622,-33600,29.681978798586574,-126000,111.30742049469964,400.0,-289.6551724137931,-1086.2068965517242
Dataset 2 (vs Opponent 2),51,32600,31200,95.70552147239263,28000,85.88957055214723,-26600,-81.59509202453988,611.7647058823529,549.0196078431372,-521.5686274509804
