sign_group,games,wins,win_pct,avg_my_hv_rate,avg_opp2_hv_rate,avg_hv_rate_diff,avg_my_words_over_1400_rate,avg_opp2_words_over_1400_rate,avg_score_diff
negative (opp 800+ rate higher or equal),28,10,35.71,0.0695,0.1229,-0.0534,0.005,0.0332,-1196.43
positive (my 800+ rate higher),23,19,82.61,0.146,0.0799,0.0661,0.0166,0.0072,2873.91
