sign_group,games,wins,win_pct,avg_my_words,avg_opp_words,avg_words_diff,avg_score_diff
negative (my value < opp),84,18,21.43,33.63,32.73,0.9,-2230.95
positive (my value > opp),32,28,87.5,36.47,33.41,3.06,2318.75
