sign_group,games,wins,win_pct,avg_my_words,avg_opp_words,avg_words_diff,avg_score_diff,avg_my_words_over_800,avg_opp_words_over_800,avg_my_words_over_1400,avg_opp_words_over_1400,avg_my_words_over_1800,avg_opp_words_over_1800,avg_my_words_over_2200,avg_opp_words_over_2200,avg_my_hv_rate,avg_opp_hv_rate,avg_my_words_over_1400_rate,avg_opp_words_over_1400_rate
negative (opp word value higher or equal),41,8,19.51,34.27,32.54,1.73,-1934.15,4.195,6.512,0.683,1.78,0.024,0.195,0.0,0.024,0.1119,0.1964,0.0191,0.0536
positive (my word value higher),22,20,90.91,34.36,31.73,2.64,2754.55,5.818,3.045,1.045,0.364,0.045,0.0,0.0,0.0,0.1635,0.0859,0.0291,0.0103
