model,n,k_folds,mean_fold_accuracy,std_fold_accuracy,overall_oof_accuracy,precision,recall,mcfadden_r2_oof,baseline_majority_class_accuracy
LOGISTIC CV - without opponent feature,167,5,0.6714,0.044,0.6707,0.6515,0.5733,0.0939,0.5509
LOGISTIC CV - WITH vs_opponent_2 binary feature,167,5,0.7078,0.0683,0.7066,0.6912,0.6267,0.1121,0.5509
