feature,coefficient_standardized,coefficient_raw_units
intercept,-0.2212,-4.807544
my_words,0.8713,0.099585
my_words_over_800,0.0337,0.009451
my_words_over_1400,0.1426,0.171651
my_words_over_1800,-0.1383,-1.271647
my_avg_word_value,0.2032,0.002701
vs_opponent_2,0.4858,1.054692
