sign_group,games,wins,win_pct,avg_my_words,avg_opp_words,avg_words_diff,avg_score_diff,avg_my_words_over_800,avg_opp_words_over_800,avg_my_words_over_1400,avg_opp_words_over_1400,avg_my_words_over_1800,avg_opp_words_over_1800,avg_my_words_over_2200,avg_opp_words_over_2200,avg_my_hv_rate,avg_opp_hv_rate,avg_my_words_over_1400_rate,avg_opp_words_over_1400_rate
negative (opp word value higher or equal),84,18,21.43,33.63,32.73,0.9,-2230.95,3.286,5.583,0.286,1.464,0.0,0.19,0.0,0.048,0.092,0.1645,0.0083,0.0439
positive (my word value higher),32,28,87.5,36.47,33.41,3.06,2318.75,5.344,3.438,0.688,0.406,0.031,0.031,0.0,0.0,0.142,0.0968,0.0191,0.0116
