sign_group,games,wins,win_pct,avg_my_hv_rate,avg_opp_hv_rate,avg_hv_rate_diff,avg_my_words_over_1400_rate,avg_opp_words_over_1400_rate,avg_score_diff
negative (opp 800+ rate higher or equal),75,18,24.0,0.0909,0.1759,-0.085,0.0089,0.0475,-2273.33
positive (my 800+ rate higher),41,28,68.29,0.133,0.0909,0.0421,0.0157,0.012,1397.56
