wv_bucket,games,wins,win_pct,avg_my_words,avg_opp_words,avg_words_diff,avg_score_diff,avg_my_words_over_800,avg_opp_words_over_800,avg_my_words_over_1400,avg_opp_words_over_1400,avg_my_words_over_1800,avg_opp_words_over_1800,avg_my_words_over_2200,avg_opp_words_over_2200,avg_my_hv_rate,avg_opp_hv_rate,avg_my_words_over_1400_rate,avg_opp_words_over_1400_rate
-300 to -250,1,0,0.0,35.0,29.0,6.0,-5900.0,0.0,7.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.2414,0.0,0.1379
-250 to -200,1,0,0.0,36.0,26.0,10.0,-3400.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.1538,0.0,0.1538
-200 to -150,10,0,0.0,36.9,36.8,0.1,-6170.0,5.0,11.1,0.4,3.6,0.0,0.5,0.0,0.2,0.1262,0.2956,0.0113,0.099
-150 to -100,9,1,11.11,35.78,34.78,1.0,-3422.22,6.111,9.111,0.667,3.333,0.0,0.444,0.0,0.111,0.1535,0.2602,0.0198,0.0953
-100 to -50,30,3,10.0,32.17,32.13,0.03,-2390.0,2.867,5.6,0.233,1.1,0.0,0.133,0.0,0.033,0.0855,0.1721,0.0066,0.0346
-50 to 0,33,14,42.42,33.27,31.79,1.48,-421.21,2.576,2.939,0.212,0.485,0.0,0.03,0.0,0.0,0.0763,0.0899,0.0064,0.0154
0 to 50,20,16,80.0,35.3,32.65,2.65,1440.0,4.05,2.9,0.4,0.25,0.05,0.0,0.0,0.0,0.1128,0.0815,0.0102,0.0072
50 to 100,11,11,100.0,39.0,35.36,3.64,3654.55,7.909,4.636,1.0,0.727,0.0,0.091,0.0,0.0,0.1995,0.1301,0.0286,0.0207
100 to 150,1,1,100.0,32.0,27.0,5.0,5200.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0938,0.037,0.0938,0.0
