model,mean_fold_acc,overall_oof_acc,precision,recall,mcfadden_r2
"no-score, no-opp",0.677495861981156,0.6766467065868264,0.6666666666666666,0.56,0.10701213720710512
"no-score, with-opp",0.6960453272217978,0.6946107784431138,0.6764705882352942,0.6133333333333333,0.1236197626193275
