my_won,games,my_score,opp_score,total_score,my_words,opp_words,total_words,my_words_over_800,opp_words_over_800,my_words_over_1400,opp_words_over_1400,my_words_over_1800,opp_words_over_1800,my_words_over_2200,opp_words_over_2200,my_avg_word_value,opp_avg_word_value,total_avg_word_value,score_diff,words_diff,words_over_800_diff,words_over_1400_diff,words_over_1800_diff,words_over_2200_diff,avg_word_value_diff,avg_my_hv_rate,avg_opp_hv_rate,avg_hv_rate_diff,avg_my_words_over_1400_rate,avg_opp_words_over_1400_rate,avg_words_over_1400_rate_diff
not_won,70,9241.43,12324.29,21565.71,31.83,33.23,65.06,3.11,5.77,0.26,1.56,0.0,0.21,0.0,0.06,284.3,365.27,325.13,-3082.86,-1.4,-2.66,-1.3,-0.21,-0.06,-80.97,0.0917,0.1679,-0.0762,0.0078,0.0462,-0.0384
won,46,12432.61,10202.17,22634.78,38.35,32.43,70.78,4.98,3.8,0.61,0.59,0.02,0.04,0.0,0.0,321.31,309.38,314.88,2230.43,5.91,1.17,0.02,-0.02,0.0,11.93,0.1272,0.1123,0.0149,0.0167,0.0179,-0.0013
