bucket,games,win_pct,avg_my_score,avg_opponent_score,avg_total_score,avg_my_words,avg_opponent_words,avg_total_words,avg_my_words_over_800,avg_opponent_words_over_800,avg_my_words_over_1400,avg_opponent_words_over_1400,avg_my_words_over_1800,avg_opponent_words_over_1800,avg_my_words_over_2200,avg_opponent_words_over_2200,avg_my_avg_word_value,avg_opponent_avg_word_value,avg_total_avg_word_value,avg_score_diff,avg_words_diff,avg_words_over_800_diff,avg_words_over_1400_diff,avg_words_over_1800_diff,avg_words_over_2200_diff,avg_avg_word_value_diff,avg_my_adjusted_points,avg_opponent_adjusted_points,avg_my_score_share,avg_my_hv_rate,avg_opponent_hv_rate,avg_hv_rate_diff,avg_my_words_over_1400_rate,avg_opponent_words_over_1400_rate,avg_words_over_1400_rate_diff
4k-12k,15,46.67,4860.0,5073.3333,9933.3333,22.8,22.8667,45.6667,1.0,0.8667,0.0,0.0667,0.0,0.0,0.0,0.0,214.3755,224.0913,219.9496,-213.3333,-0.0667,0.1333,-0.0667,0.0,0.0,-9.7158,-106.6667,106.6667,0.4857,0.0423,0.0368,0.0055,0.0,0.0025,-0.0025
12k-20k,63,34.92,7795.2381,8723.8095,16519.0476,30.5079,29.2698,59.7778,1.5873,2.7778,0.1587,0.6984,0.0,0.0794,0.0,0.0159,258.6442,302.8716,280.8817,-928.5714,1.2381,-1.1905,-0.5397,-0.0794,-0.0159,-44.2274,-464.2857,464.2857,0.4732,0.0558,0.1,-0.0442,0.0056,0.0256,-0.02
20k-28k,66,42.42,11539.3939,12334.8485,23874.2424,35.0758,34.5303,69.6061,4.6364,5.3939,0.6364,1.1061,0.0,0.1364,0.0,0.0152,331.5055,359.1146,345.6001,-795.4545,0.5455,-0.7576,-0.4697,-0.1364,-0.0152,-27.6092,-397.7273,397.7273,0.4841,0.1348,0.1577,-0.0229,0.0191,0.0336,-0.0146
28k-36k,20,60.0,16065.0,16295.0,32360.0,43.15,38.35,81.5,8.0,9.5,1.05,2.0,0.05,0.15,0.0,0.05,379.121,433.9264,405.1192,-230.0,4.8,-1.5,-0.95,-0.1,-0.05,-54.8055,-115.0,115.0,0.4958,0.1926,0.2588,-0.0662,0.0288,0.0551,-0.0264
36k-44k,14,35.71,19642.8571,20135.7143,39778.5714,47.1429,41.0714,88.2143,11.1429,11.7143,1.7143,3.6429,0.1429,0.5714,0.0,0.1429,419.9994,496.5041,456.2727,-492.8571,6.0714,-0.5714,-1.9286,-0.4286,-0.1429,-76.5047,-246.4286,246.4286,0.4943,0.2401,0.2904,-0.0504,0.0392,0.0941,-0.0549
44k-52k,1,0.0,19000.0,25200.0,44200.0,51.0,42.0,93.0,10.0,15.0,0.0,8.0,0.0,0.0,0.0,0.0,372.549,600.0,475.2688,-6200.0,9.0,-5.0,-8.0,0.0,0.0,-227.451,-3100.0,3100.0,0.4299,0.1961,0.3571,-0.1611,0.0,0.1905,-0.1905
